"","V1","V5","V10","V11","V26","V36","V37","V42","V44","V47","V48","V51","V54","V60","V70","V74","V77","V88","V91","V96","V99","V114","V120","V122","V123","V127","V128","V134","V139","V140","V142","V148","V151","V153","V160","V162","V166","V173","V178","V180","V181","V186","V191","V192","V193","V197","V204","V210","V212","V214","V216","V219","V223","V228","V257","V258","V262","V270","V271","V281","V283","V287","V293","V296","V308","V312","V313","V317","V321","V329","V333","V343","V347","V348","V349","V355","V360","V364","V366","V367","V371","V373","V377","V385","V388","V392","V393","V394","V424","V432","V436","V437","V440","V446","V450","V458","V470","V480","V483","V499"
"219",10,11,8,9,10,10,11,9,8,14,5,11,12,1,10,16,12,12,11,19,11,7,14,19,18,12,11,12,15,17,16,18,15,12,21,14,17,13,7,21,11,13,18,21,15,13,2,19,18,14,12,0,18,19,12,18,15,19,17,17,21,15,14,19,12,11,18,14,22,13,19,17,3,16,15,11,19,13,12,11,17,19,13,18,10,15,11,13,16,14,18,17,20,20,3,18,12,18,15,14
"223",12,13,14,11,12,12,17,11,14,16,15,17,14,17,12,18,14,14,13,15,13,13,16,21,20,14,13,18,17,19,18,20,17,18,23,20,19,15,17,23,13,15,14,23,17,15,18,21,20,16,14,18,0,21,18,4,21,25,3,19,17,17,20,15,14,13,20,16,24,19,21,19,19,18,17,13,13,15,14,13,19,21,15,20,20,17,13,15,18,16,20,23,22,22,19,12,14,20,21,20
"228",9,8,15,12,13,13,18,12,15,11,16,18,15,18,13,13,9,15,14,22,14,14,11,16,15,15,14,19,18,14,13,15,12,19,18,21,14,16,18,18,14,10,21,18,12,16,19,16,15,17,15,19,21,0,19,21,22,26,20,14,24,18,21,22,15,14,15,17,19,20,16,20,20,13,12,14,22,16,15,14,20,22,16,15,21,18,14,16,13,11,15,24,17,17,20,21,9,15,22,21
"257",10,11,8,9,10,10,5,9,8,14,9,5,12,11,10,16,12,12,11,19,11,7,14,19,18,12,11,6,15,17,16,18,15,6,21,14,17,13,11,21,11,13,18,21,15,13,12,19,18,14,12,12,18,19,0,18,9,13,17,17,21,15,8,19,12,11,18,14,22,13,19,17,13,16,15,11,19,13,12,11,17,19,13,18,14,15,11,13,16,14,18,11,20,20,13,18,12,18,9,8
"258",12,13,14,11,12,12,17,11,14,16,15,17,14,17,12,18,14,14,13,15,13,13,16,21,20,14,13,18,17,19,18,20,17,18,23,20,19,15,17,23,13,15,14,23,17,15,18,21,20,16,14,18,4,21,18,0,21,25,3,19,17,17,20,15,14,13,20,16,24,19,21,19,19,18,17,13,13,15,14,13,19,21,15,20,20,17,13,15,18,16,20,23,22,22,19,12,14,20,21,20
"262",13,14,11,12,13,13,8,12,11,17,12,8,15,14,13,19,15,15,14,22,14,10,17,22,21,15,14,9,18,20,19,21,18,9,24,17,20,16,14,24,14,16,21,24,18,16,15,22,21,17,15,15,21,22,9,21,0,16,20,20,24,18,11,22,15,14,21,17,25,16,22,20,16,19,18,14,22,16,15,14,20,22,16,21,17,18,14,16,19,17,21,14,23,23,16,21,15,21,12,11
"270",17,18,15,16,17,17,12,16,15,21,16,12,19,18,17,23,19,19,18,26,18,14,21,26,25,19,18,13,22,24,23,25,22,13,28,21,24,20,18,28,18,20,25,28,22,20,19,26,25,21,19,19,25,26,13,25,16,0,24,24,28,22,15,26,19,18,25,21,29,20,26,24,20,23,22,18,26,20,19,18,24,26,20,25,21,22,18,20,23,21,25,4,27,27,20,25,19,25,16,15
"271",11,12,13,10,11,11,16,10,13,15,14,16,13,16,11,17,13,13,12,14,12,12,15,20,19,13,12,17,16,18,17,19,16,17,22,19,18,14,16,22,12,14,13,22,16,14,17,20,19,15,13,17,3,20,17,3,20,24,0,18,16,16,19,14,13,12,19,15,23,18,20,18,18,17,16,12,12,14,13,12,18,20,14,19,19,16,12,14,17,15,19,22,21,21,18,11,13,19,20,19
"281",7,6,13,10,11,11,16,10,13,3,14,16,13,16,11,5,7,13,12,20,12,12,9,12,11,13,12,17,16,12,5,13,10,17,10,19,10,14,16,16,12,8,19,16,10,14,17,12,7,15,13,17,19,14,17,19,20,24,18,0,22,16,19,20,13,12,13,15,17,18,14,18,18,11,10,12,20,14,13,12,18,20,14,13,19,16,12,14,11,9,7,22,15,15,18,19,7,13,20,19
"283",15,16,17,14,15,15,20,14,17,19,18,20,17,20,15,21,17,17,16,2,16,16,19,24,23,17,16,21,20,22,21,23,20,21,26,23,22,18,20,26,16,18,7,26,20,18,21,24,23,19,17,21,17,24,21,17,24,28,16,22,0,20,23,8,17,16,23,19,27,22,24,22,22,21,20,16,18,18,17,16,22,24,18,23,23,20,16,18,21,19,23,26,25,25,22,17,17,23,24,23
