iteration,logLikelihood,logPrior,theta,mutation_rate,infection_rate,1,2,3,4,5,6,7,8,9,10,1_InfTime,2_InfTime,3_InfTime,4_InfTime,5_InfTime,6_InfTime,7_InfTime,8_InfTime,9_InfTime,10_InfTime
73000,-1035.3150310076962,6.052688971336216,6.024807682801782e-7,1.2545198237680809e-5,4.221054951987381,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.12258529508269667,0.8073939252876341,1.2411354323904609,1.5280205056833587,1.942678290809077,0.8072822665550384,2.7166064898833477,2.9300928970283815
74000,-1035.3755647782077,3.83333097159798,2.0705885214690484e-7,1.5649102863129105e-5,3.1248766897380027,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.03386891122565359,0.807227615627567,1.0573333861592542,1.631990503380886,1.9160774271686882,0.8072815545716944,2.7067049484897363,2.9300928970283815
75000,-1034.0537664049696,5.871748259331349,1.8387058245531008e-7,1.3830235269534213e-5,3.437882059364355,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.039980098716056366,0.8073162581970327,1.0438293433577375,1.631990503380886,1.9257598013161352,0.8070788191049371,2.7256676715527433,2.9300928970283815
76000,-1036.8473194856992,3.8722631587833214,6.948508275065562e-7,1.1029684236188537e-5,2.504344004831574,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.002918443913133592,0.8071462683085568,0.9177154847102157,1.4918644688406493,1.8023474783728977,0.8073538135712715,2.726562111879286,2.9300928970283815
77000,-1036.9659806833101,2.337858916959217,1.1365362749036005e-6,1.1221021019684941e-5,2.404232749289897,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.10682476667436247,0.8072629180404606,0.9537696966335572,1.5584338601913803,1.8734417129835808,0.8071828473183253,2.7000606239870493,2.9300928970283815
78000,-1037.2778589472216,11.2219875418257,1.7146296354749844e-6,1.1789729308680411e-5,2.298981897993791,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.20158063817474628,0.8071005961264205,1.240059912784604,1.6467515272844233,1.9448111851395549,0.8073214135837692,2.7265348685104014,2.925499966384348
79000,-1036.5383424997467,5.871632090873705,9.58001081836149e-7,1.0165015754014545e-5,2.1963774853412374,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.13552775408183967,0.8071148275076137,1.0479681432489816,1.4682628294694975,1.9448111851395549,0.8072259298563463,2.726385175669425,2.925499966384348
80000,-1034.9076786571381,4.158782275469431,3.6449934885830355e-7,1.2395186225812719e-5,1.6736116918204917,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.1376679073490395,0.8073726809181153,1.0431820698897163,1.471838561298003,1.9448111851395549,0.8073226544045842,2.7210381140401445,2.925499966384348
81000,-1035.395710920824,3.708490024081149,5.855664725325955e-7,1.2989472569500063e-5,1.242998560528558,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.09013049000065855,0.8070831700904794,1.230150877866335,1.6117228474312337,1.9448111851395549,0.8073323067841035,2.7005566950912403,2.8855504851226357
82000,-1037.508922137906,10.728186044675233,9.018371231658306e-7,1.1568441561727244e-5,3.942407041379349,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.18322762873357512,0.8071615988258355,1.2501982774553917,1.6497396204836532,1.9448111851395549,0.8071493439032648,2.6691356254247185,2.8565246893270113
83000,-1035.8479703530597,15.442764949364987,4.4059713854050206e-7,1.1670270446565597e-5,4.157369297138414,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.1053791277598776,0.8071311038910574,1.2501982774553917,1.6497396204836532,1.9448111851395549,0.8073780531970439,2.726294570130013,2.92470283507666
84000,-1036.924796438423,12.234827449067595,3.335014128964637e-7,1.1728142687222725e-5,4.105208357218954,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.15566301505063232,0.8072581513820709,1.2501982774553917,1.6497396204836532,1.9448111851395549,0.8072539440761377,2.647545112804811,2.92470283507666
